IMG_ID,normal_rg,normal_threshold_fc,rg_variant,fc_variant,fc_minus_rg,ostia_status,left_dist_mm,right_dist_mm,fuzzy_threshold_balanced_fc_semi_permissive,fuzzy_threshold_balanced_rg,contextual_strong_object_threshold_fc,contextual_strong_object_threshold_rg
13,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,-0.025307104612056208,both_tolerable,2.0859375,1.1031404921008474,,,0.5456294158990863,0.5709365205111425
23,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,0.0,found_but_wrong,55.287466334747336,31.085496951593665,,,0.0,0.0
28,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,-0.014941202801366127,both_tolerable,1.0737001589130926,0.8375058302035873,,,0.6567513444186936,0.6716925472200598
44,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,0.05024428145499815,both_tolerable,0.58984375,0.0,,,0.6754253664514305,0.6251810849964323
90,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,-0.30959856235734584,both_tolerable,1.4761542507713454,0.5,,,0.3686228032814207,0.6782213656387666
129,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,-0.004762185851672651,both_tolerable,2.23828125,0.5,,,0.7079657734893497,0.7127279593410224
134,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,0.0015287429994477048,found_but_wrong,1.4237464075486943,26.652513213040326,,,0.07876230661040788,0.07723356361096018
175,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,0.07572034905594677,both_tolerable,0.9004562916672442,0.5,,,0.5336031906661111,0.4578828416101643
194,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,-0.005768314961482779,both_tolerable,0.8095744354916121,1.345667690480501,,,0.7853181238721213,0.7910864388336041
248,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,0.008000507773337273,found_but_wrong,0.0,21.585732502193434,,,0.5131835546175835,0.5051830468442462
251,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,0.006400222484095663,both_tolerable,0.8095744354916121,1.029961908617559,,,0.5841118690859624,0.5777116466018667
305,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,0.008264632187396925,both_tolerable,1.8419615266408254,0.0,,,0.6875152607952518,0.6792506286078549
315,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,-0.0028868373288865046,both_tolerable,0.0,0.5,,,0.6435384724086766,0.6464253097375631
330,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,-0.05769556318901381,both_tolerable,1.91015625,1.9745118129335317,,,0.6211389157308986,0.6788344789199124
344,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,-0.00608058693305491,both_tolerable,2.3132520947588593,0.0,,,0.7311409071691731,0.737221494102228
362,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,0.01715259664669183,found_but_wrong,1.546875,19.538751684353137,,,0.34973007208131013,0.3325774754346183
376,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,-0.06983262044347216,both_tolerable,0.0,0.9013878188659973,,,0.661285551282593,0.7311181717260652
380,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,0.03236176391718493,both_tolerable,2.3495403733114086,1.739843048383334,,,0.5847304890423615,0.5523687251251765
409,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,-0.28540438503577314,both_tolerable,1.703254904736168,0.5,,,0.28136306268405553,0.5667674477198287
420,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,-0.3173769090804359,both_correct,0.0,0.0,,,0.41364570933881617,0.7310226184192521
428,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,-0.1904958404442435,both_tolerable,0.0,1.2202077119702048,,,0.43820661505069813,0.6287024554949416
447,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,0.011164243239576543,found_but_wrong,0.0,11.388690465010123,,,0.47843903669146387,0.4672747934518873
450,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,-0.008648795777769336,both_tolerable,2.293447831127092,1.4537234150890344,,,0.7043981747766402,0.7130469705544096
459,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,0.0279817735770585,both_tolerable,0.0,0.5,,,0.5218592023965549,0.4938774288194964
510,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,-0.00180938093900318,both_tolerable,0.0,1.1377451873456221,,,0.6715008312404938,0.6733102121794969
518,,,contextual_strong_object_threshold_rg,contextual_strong_object_threshold_fc,-0.1084554218967212,both_tolerable,0.69140625,0.5,,,0.5968027533231912,0.7052581752199124
