IMG_ID,base_dice,base_ostia,base_min_hu,base_threshold_voxels,base_lcc_voxels,artery_dice,ostia_detection_status,min_threshold_hu,threshold_voxel_count,lcc_voxel_count,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,variant,delta,threshold_delta,lcc_voxel_delta,status_changed
175,0.4584321949576744,both tolerable,-300.0,9988264,9789266,0.4603755031804075,both tolerable,-144.75,9685158,9533861,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.0019433082227330867,155.25,-255405,False
760,0.7184318282425852,both tolerable,-300.0,11317959,10482444,0.7220592569720277,both tolerable,-139.75,10959335,10059702,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.003627428729442439,160.25,-422742,False
696,0.6303600323624595,both tolerable,-300.0,8565969,8325140,0.6331052377197223,both tolerable,-154.5,8348781,8159739,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.0027452053572627477,145.5,-165401,False
194,0.789477826928829,both tolerable,-300.0,12683474,12397124,0.7975090847967727,both tolerable,-140.5,12296288,12031335,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.008031257867943786,159.5,-365789,False
305,0.6876775376649528,both tolerable,-300.0,11260109,11026716,0.6860370970116296,both tolerable,-149.25,10842338,10620688,object_relative_percentile,5.0,99.5,object_relative_p5p0,-0.0016404406533231386,150.75,-406028,False
344,0.7381695928277923,both tolerable,-300.0,12321281,10908226,0.7419902365752911,both tolerable,-167.0,11953807,10558227,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.0038206437474987975,133.0,-349999,False
28,0.6709658928059616,both tolerable,-300.0,11132512,10785632,0.6727295021662716,both tolerable,-124.75,10553955,10273038,object_relative_percentile,7.5,99.5,object_relative_p7p5,0.0017636093603099479,175.25,-512594,False
380,0.5410466097957435,both tolerable,-300.0,7780773,7643416,0.5623163308144417,both tolerable,-146.5,7397916,7274449,object_relative_percentile,7.5,99.5,object_relative_p7p5,0.021269721018698173,153.5,-368967,False
854,0.6313070183361936,both tolerable,-300.0,10687984,10438449,0.6442090447794363,both tolerable,-131.25,10160708,9966551,object_relative_percentile,7.5,99.5,object_relative_p7p5,0.012902026443242676,168.75,-471898,False
937,0.6849258025439128,both tolerable,-300.0,11831469,11533848,0.6920972586229985,both tolerable,-121.0,11180811,10940632,object_relative_percentile,7.5,99.5,object_relative_p7p5,0.0071714560790857584,179.0,-593216,False
