stage,variant,split,IMG_ID,segmentation_variant,vesselness_profile,artery_method,morphology_profile,morphology_closing_radius,morphology_dilation_radius,ostia_status,ostia_success,left_dist_mm,right_dist_mm,dice_artery,dice_artery_before_morphology,dice_artery_after_morphology,dice_artery_morphology_delta,artery_voxels,artery_voxels_before_morphology,artery_voxels_after_morphology,morphology_added_voxels,recall_before_morphology,recall_after_morphology,precision_before_morphology,precision_after_morphology,vesselness_seconds,segmentation_seconds,morphology_seconds,fc_processed_voxels,fc_candidate_voxels_initial,fc_candidate_voxels_final,fc_effective_alpha,fc_object_seed_count,fc_grow_each_ostium_separately,fc_processed_limit_hit,fc_candidate_limit_hit,error
refinement,rg_gamma55__raw,train,752,rg_gamma55,current,region_growing,raw,0,0,both_tolerable,True,0.63671875,0.8095744354916121,0.35900676059897646,0.35900676059897646,0.35900676059897646,0.0,13262,13262,13262,0,0.24907215289751308,0.24907215289751308,0.6426632483788267,0.6426632483788267,0.397707125001034,0.11022902600234374,0.23921815699941362,,,,,,,False,False,
refinement,rg_gamma60__closing_c3_d1,train,752,rg_gamma60,gamma60,region_growing,closing_c3_d1,3,1,both_tolerable,True,0.63671875,0.8095744354916121,0.57314453125,0.35653123634775014,0.57314453125,0.21661329490224984,27221,11561,27221,15660,0.23849323475262282,0.5145387065665273,0.7059077934434738,0.6468167958561405,0.4016396490005718,0.09717534000083106,1.5464915980010119,,,,,,,False,False,
refinement,rg_gamma60__conservative_c2_d1,train,752,rg_gamma60,gamma60,region_growing,conservative_c2_d1,2,1,both_tolerable,True,0.63671875,0.8095744354916121,0.5707593078306198,0.35653123634775014,0.5707593078306198,0.21422807148286965,26402,11561,26402,14841,0.23849323475262282,0.5055670826149216,0.7059077934434738,0.6552533898947049,0.4016396490005718,0.09717534000083106,0.6060214970020752,,,,,,,False,False,
refinement,rg_gamma60__current_c3_d2,train,752,rg_gamma60,gamma60,region_growing,current_c3_d2,3,2,both_tolerable,True,0.63671875,0.8095744354916121,0.6275336429677266,0.35653123634775014,0.6275336429677266,0.2710024066199765,49751,11561,49751,38190,0.23849323475262282,0.7699523656448172,0.7059077934434738,0.5295772949287452,0.4016396490005718,0.09717534000083106,1.8097113439980603,,,,,,,False,False,
refinement,rg_gamma60__raw,train,752,rg_gamma60,gamma60,region_growing,raw,0,0,both_tolerable,True,0.63671875,0.8095744354916121,0.35653123634775014,0.35653123634775014,0.35653123634775014,0.0,11561,11561,11561,0,0.23849323475262282,0.23849323475262282,0.7059077934434738,0.7059077934434738,0.4016396490005718,0.09717534000083106,0.23416470500160358,,,,,,,False,False,
refinement,rg_gamma65__closing_c3_d1,train,752,rg_gamma65,gamma65,region_growing,closing_c3_d1,3,1,both_tolerable,True,0.63671875,0.8095744354916121,0.6306085730714299,0.36466808919736443,0.6306085730714299,0.2659404838740655,19694,8428,19694,11266,0.2272421753996318,0.4967707998480376,0.9226388229710489,0.8631562912562202,0.3897159879998071,0.07580040299944812,1.569675880997238,,,,,,,False,False,
refinement,rg_gamma65__conservative_c2_d1,train,752,rg_gamma65,gamma65,region_growing,conservative_c2_d1,2,1,both_tolerable,True,0.63671875,0.8095744354916121,0.6247456171468045,0.36466808919736443,0.6247456171468045,0.2600775279494401,19342,8428,19342,10914,0.2272421753996318,0.4889388935971244,0.9226388229710489,0.8650087891634785,0.3897159879998071,0.07580040299944812,0.6128840450001007,,,,,,,False,False,
refinement,rg_gamma65__current_c3_d2,train,752,rg_gamma65,gamma65,region_growing,current_c3_d2,3,2,both_tolerable,True,0.63671875,0.8095744354916121,0.7314429279171195,0.36466808919736443,0.7314429279171195,0.3667748387197551,36630,8428,36630,28202,0.2272421753996318,0.7572109062216897,0.9226388229710489,0.7073710073710073,0.3897159879998071,0.07580040299944812,1.8718412609996449,,,,,,,False,False,
refinement,rg_gamma65__raw,train,752,rg_gamma65,gamma65,region_growing,raw,0,0,both_tolerable,True,0.63671875,0.8095744354916121,0.36466808919736443,0.36466808919736443,0.36466808919736443,0.0,8428,8428,8428,0,0.2272421753996318,0.2272421753996318,0.9226388229710489,0.9226388229710489,0.3897159879998071,0.07580040299944812,0.2382852679984353,,,,,,,False,False,
refinement,rg_gamma70__closing_c3_d1,train,752,rg_gamma70,gamma70,region_growing,closing_c3_d1,3,1,both_tolerable,True,0.63671875,0.8095744354916121,0.6197379846717258,0.35153009220850023,0.6197379846717258,0.2682078924632256,18755,7968,18755,10787,0.2166924807855285,0.4797042578684357,0.9305973895582329,0.8752332711276993,0.3914697250002064,0.07305833300051745,1.6019144630008668,,,,,,,False,False,
refinement,rg_gamma70__conservative_c2_d1,train,752,rg_gamma70,gamma70,region_growing,conservative_c2_d1,2,1,both_tolerable,True,0.63671875,0.8095744354916121,0.613458469488563,0.35153009220850023,0.613458469488563,0.26192837728006274,18417,7968,18417,10449,0.2166924807855285,0.47181390455594846,0.9305973895582329,0.8766357170005973,0.3914697250002064,0.07305833300051745,0.6338648330020078,,,,,,,False,False,
refinement,rg_gamma70__current_c3_d2,train,752,rg_gamma70,gamma70,region_growing,current_c3_d2,3,2,both_tolerable,True,0.63671875,0.8095744354916121,0.7309824987003986,0.35153009220850023,0.7309824987003986,0.3794524064918983,35033,7968,35033,27065,0.2166924807855285,0.7396767877494959,0.9305973895582329,0.7224902235035537,0.3914697250002064,0.07305833300051745,1.8558211919989844,,,,,,,False,False,
refinement,rg_gamma70__raw,train,752,rg_gamma70,gamma70,region_growing,raw,0,0,both_tolerable,True,0.63671875,0.8095744354916121,0.35153009220850023,0.35153009220850023,0.35153009220850023,0.0,7968,7968,7968,0,0.2166924807855285,0.2166924807855285,0.9305973895582329,0.9305973895582329,0.3914697250002064,0.07305833300051745,0.2441465400006564,,,,,,,False,False,
refinement,fc_alpha_018__closing_c3_d1,train,760,fc_alpha_018,current,fuzzy_connectedness,closing_c3_d1,3,1,both_tolerable,True,0.65625,0.8250236739027553,0.6021106079839336,0.37764088523842115,0.6021106079839336,0.2244697227455124,17528,8577,17528,8951,0.23476016225569454,0.45074178084134686,0.9649061443395126,0.9065495207667732,0.41908379799860995,2.024234208998678,1.5364448519976577,8577.0,491816.0,491816.0,0.18,8.0,False,False,False,
refinement,fc_alpha_018__conservative_c2_d1,train,760,fc_alpha_018,current,fuzzy_connectedness,conservative_c2_d1,2,1,both_tolerable,True,0.65625,0.8250236739027553,0.5997645450402552,0.37764088523842115,0.5997645450402552,0.22212365980183407,17411,8577,17411,8834,0.23476016225569454,0.4479902419652228,0.9649061443395126,0.9070702429498593,0.41908379799860995,2.024234208998678,0.5980327969991777,8577.0,491816.0,491816.0,0.18,8.0,False,False,False,
