lower_threshold_percentile,IMG_ID,normal_dice,normal_ostia_status,normal_left_dist_mm,normal_right_dist_mm,normal_artery_voxels,fuzzy_dice,fuzzy_ostia_status,fuzzy_left_dist_mm,fuzzy_right_dist_mm,fuzzy_artery_voxels,fuzzy_minus_normal_dice,fuzzy_minus_normal_voxels
10.5,538,0.7437853285423102,both tolerable,0.0,0.8095744354916121,22875,0.6125680113719916,both tolerable,0.0,0.8095744354916121,16088,-0.1312173171703186,-6787
10.5,965,0.6568894068894069,both tolerable,1.546875,1.4820293967437017,34113,0.6610161219476484,both tolerable,1.546875,1.4820293967437017,33806,0.00412671505824147,-307
10.5,447,0.4645496183206107,found but incorrect,0.6953125,7.205497169045659,11843,0.4661446338093045,found but incorrect,0.6953125,7.205497169045659,11658,0.001595015488693785,-185
10.5,836,0.7473690113464306,both tolerable,0.9004562916672442,0.5,26309,0.7475397567820393,both tolerable,0.9004562916672442,0.5,26262,0.00017074543560868793,-47
10.5,603,0.4380122508843068,found but incorrect,0.0,27.84537235076125,15403,0.4434776788702229,found but incorrect,0.0,7.171684578422479,13862,0.005465427985916094,-1541
10.5,676,0.4982829802832118,both tolerable,1.1576348337032387,0.8916609243998318,8638,0.4981522542498152,both tolerable,1.1576348337032387,0.8916609243998318,8428,-0.00013072603339658873,-210
10.5,44,0.3954117711053089,both tolerable,0.58984375,0.0,103041,0.6303064748830499,both tolerable,0.58984375,0.0,47461,0.23489470377774102,-55580
10.5,129,0.7212351742179851,both tolerable,2.23828125,0.5,28970,0.7042369939329818,both tolerable,2.23828125,0.5,27154,-0.016998180285003328,-1816
10.5,518,0.6864336845337479,both tolerable,0.0,0.69140625,30100,0.7158473233447661,both tolerable,0.69140625,0.5,27850,0.029413638811018217,-2250
10.5,793,0.7221905988795351,both tolerable,0.8437861682062879,2.7741306352170945,18457,0.7382137535271551,both tolerable,0.8437861682062879,2.7741306352170945,16619,0.016023154647620053,-1838
10.5,550,0.5415601464796518,both tolerable,0.0,1.6331862610496235,11502,0.5436054611312343,both tolerable,0.0,1.6331862610496235,11268,0.0020453146515825305,-234
10.5,631,0.728356795385079,both tolerable,0.0,1.4102374024432909,24470,0.7284256719692814,both tolerable,0.0,1.113000238656758,23587,6.887658420240417e-05,-883
